City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Kitui,KE,75.79,broken clouds,-1.367,38.0106,
239,Eyl,SO,78.37,broken clouds,7.9803,49.8164,
240,Muros,ES,78.15,clear sky,42.7762,-9.0603,
241,Axim,GH,81.46,scattered clouds,4.8699,-2.2405,
243,Sungairaya,ID,80.53,light rain,0.7,108.9,
252,Marsa Matruh,EG,84.02,clear sky,31.3525,27.2453,
254,Seabra,BR,86.72,overcast clouds,-12.4186,-41.7703,
263,Santa Maria,BR,80.98,broken clouds,-29.6842,-53.8069,
265,Sabang,ID,82.18,overcast clouds,5.8933,95.3214,
267,Dingle,PH,75.16,overcast clouds,10.9995,122.6711,
268,Maningrida,AU,76.48,broken clouds,-12.0667,134.2667,
270,Meulaboh,ID,78.69,overcast clouds,4.1363,96.1285,
274,Razole,IN,82.69,overcast clouds,16.4833,81.8333,
279,Alenquer,BR,88.14,clear sky,-1.9417,-54.7383,
281,Itamaraca,BR,84.88,overcast clouds,-7.7478,-34.8256,
285,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,
292,Bara,NG,89.74,overcast clouds,10.3744,10.7288,
293,Howard Springs,AU,75.11,overcast clouds,-12.497,131.047,
294,Sao Jose Da Coroa Grande,BR,80.17,overcast clouds,-8.8978,-35.1478,
295,Manzanillo,CU,88.05,clear sky,20.3433,-77.1167,
303,Naze,JP,75.09,clear sky,28.3667,129.4833,
304,Valdosta,US,78.67,overcast clouds,30.8327,-83.2785,
310,San Policarpo,PH,79.99,overcast clouds,12.1791,125.5072,
313,Rochester,US,75.34,broken clouds,43.1548,-77.6156,
320,Umm Lajj,SA,86.77,clear sky,25.0213,37.2685,
330,Balabac,PH,80.73,overcast clouds,7.9868,117.0645,
333,The Valley,AI,87.1,few clouds,18.217,-63.0578,
