City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Dali,CN,25.7,100.1833,61.09,73,3,2.51,clear sky
223,Maputo,MZ,-25.9653,32.5892,73.22,79,20,5.99,few clouds
224,Ushtobe,KZ,45.2514,77.9838,53.87,26,8,8.3,clear sky
225,Barcelos,PT,41.5388,-8.6151,80.92,35,0,12.37,clear sky
226,Mehamn,NO,71.0357,27.8492,49.95,50,0,19.57,clear sky
227,Yambio,SS,4.5721,28.3955,76.87,89,67,2.19,moderate rain
228,Omboue,GA,-1.5746,9.2618,77.99,74,100,8.95,overcast clouds
229,Englehart,CA,47.8169,-79.8664,69.8,50,0,12.35,clear sky
230,Mugur-Aksy,RU,50.35,90.5,37.76,52,2,4.97,clear sky
231,Kostomuksha,RU,64.571,30.5767,42.46,62,100,7.78,overcast clouds
232,Nara,JP,34.6851,135.8049,76.28,83,8,4.61,clear sky
233,Coihaique,CL,-45.5752,-72.0662,49.95,50,40,5.75,scattered clouds
234,Lagoa,PT,39.05,-27.9833,69.12,68,0,7.16,clear sky
235,Luderitz,NA,-26.6481,15.1594,69.35,44,0,31.09,clear sky
236,Hambantota,LK,6.1241,81.1185,81.7,82,96,15.9,overcast clouds
237,Kitui,KE,-1.367,38.0106,75.79,46,56,15.64,broken clouds
238,Port-Cartier,CA,50.0334,-66.8654,56.75,59,11,5.26,few clouds
239,Eyl,SO,7.9803,49.8164,78.37,77,76,25.1,broken clouds
240,Muros,ES,42.7762,-9.0603,78.15,58,0,16.11,clear sky
241,Axim,GH,4.8699,-2.2405,81.46,72,41,9.08,scattered clouds
242,Gao,ML,16.6362,1.637,104.22,13,28,6.44,scattered clouds
243,Sungairaya,ID,0.7,108.9,80.53,76,99,3.87,light rain
244,Torbay,CA,47.6666,-52.7314,53.28,77,8,5.99,clear sky
245,Pringsewu,ID,-5.3582,104.9744,73.72,94,63,3.53,broken clouds
246,Svetlaya,RU,46.5389,138.3297,55.49,53,100,4.21,overcast clouds
247,Bekhteyevka,RU,50.8072,37.2085,54.5,62,100,8.25,overcast clouds
248,Paamiut,GL,61.994,-49.6678,35.56,78,10,24.02,clear sky
249,Tessalit,ML,20.1986,1.0114,105.8,6,0,9.98,clear sky
250,Malanje,AO,-9.5402,16.341,91.22,23,69,6.6,broken clouds
251,Inuvik,CA,68.3499,-133.7218,36.64,79,33,12.37,scattered clouds
252,Marsa Matruh,EG,31.3525,27.2453,84.02,55,0,10.29,clear sky
253,Moose Factory,CA,51.2585,-80.6094,70.68,64,56,13.89,broken clouds
254,Seabra,BR,-12.4186,-41.7703,86.72,22,100,12.17,overcast clouds
255,Zyryanka,RU,65.75,150.85,29.41,93,100,16.04,light snow
256,Vanavara,RU,60.34,102.2797,47.16,99,100,3.2,moderate rain
257,Hanzhong,CN,33.0728,107.0303,65.14,79,1,1.63,clear sky
258,Khorinsk,RU,52.1657,109.7726,55.72,78,79,2.46,broken clouds
259,Lodwar,KE,3.1191,35.5973,91.69,30,7,10.04,clear sky
260,Namibe,AO,-15.1961,12.1522,70.09,65,54,9.22,broken clouds
261,Lisakovsk,KZ,52.5369,62.4936,43.11,52,9,8.77,clear sky
262,Tiksi,RU,71.6872,128.8694,33.21,72,99,5.26,overcast clouds
263,Santa Maria,BR,-29.6842,-53.8069,80.98,68,53,3.09,broken clouds
264,Margate,GB,51.3813,1.3862,67.71,82,79,11.07,broken clouds
265,Sabang,ID,5.8933,95.3214,82.18,70,100,7.45,overcast clouds
266,Biak,ID,-0.9131,122.8766,74.91,89,100,3.0,overcast clouds
267,Dingle,PH,10.9995,122.6711,75.16,95,100,3.96,overcast clouds
268,Maningrida,AU,-12.0667,134.2667,76.48,73,70,9.22,broken clouds
269,Kongolo,CD,-5.3833,27.0,93.51,27,100,4.54,overcast clouds
270,Meulaboh,ID,4.1363,96.1285,78.69,81,100,2.48,overcast clouds
271,Cherskiy,RU,68.75,161.3,24.37,81,15,7.18,few clouds
272,Kwinana,AU,-32.25,115.7667,65.23,61,0,13.76,clear sky
273,Whitecourt,CA,54.1502,-115.6855,44.62,82,84,3.71,broken clouds
274,Razole,IN,16.4833,81.8333,82.69,85,86,2.91,overcast clouds
275,Santiago,CL,-33.4569,-70.6483,58.44,58,0,3.44,clear sky
276,Launceston,AU,-41.45,147.1667,40.64,79,12,4.0,few clouds
277,Pirapora,BR,-17.345,-44.9419,97.43,21,9,5.88,clear sky
278,Skjervoy,NO,70.0311,20.9714,44.6,63,9,12.19,clear sky
279,Alenquer,BR,-1.9417,-54.7383,88.14,42,9,4.43,clear sky
280,Tabat,ID,-2.635,115.2274,74.07,95,79,2.75,broken clouds
281,Itamaraca,BR,-7.7478,-34.8256,84.88,61,99,9.06,overcast clouds
282,Beppu,JP,33.2736,131.4919,70.02,92,0,5.21,clear sky
283,Sitka,US,57.0531,-135.33,53.49,71,90,17.27,moderate rain
284,Necochea,AR,-38.5473,-58.7368,52.03,83,73,15.43,broken clouds
285,Kununurra,AU,-15.7667,128.7333,75.18,64,47,0.0,scattered clouds
286,Te Anau,NZ,-45.4167,167.7167,45.43,97,100,7.67,light rain
287,Bathsheba,BB,13.2167,-59.5167,90.21,58,20,13.8,few clouds
288,Valdivia,CL,-39.8142,-73.2459,51.89,63,70,6.2,broken clouds
289,Mandera,KE,3.9366,41.867,93.33,27,67,14.5,broken clouds
290,Kaeo,NZ,-35.1,173.7833,46.33,94,15,2.57,few clouds
291,Juneau,US,58.3019,-134.4197,52.84,91,90,11.5,light rain
292,Bara,NG,10.3744,10.7288,89.74,49,87,0.31,overcast clouds
293,Howard Springs,AU,-12.497,131.047,75.11,65,95,4.0,overcast clouds
294,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.17,63,93,8.25,overcast clouds
295,Manzanillo,CU,20.3433,-77.1167,88.05,56,1,10.87,clear sky
296,Hurricane,US,37.1753,-113.2899,65.59,40,64,9.44,broken clouds
297,Havoysund,NO,70.9963,24.6622,49.08,66,56,11.72,broken clouds
298,Toamasina,MG,-18.1667,49.3833,69.8,94,75,4.61,broken clouds
299,Inhambane,MZ,-23.865,35.3833,71.91,62,0,15.41,clear sky
300,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,42.64,81,1,18.1,clear sky
301,Brae,GB,60.3964,-1.353,55.31,91,100,26.44,overcast clouds
302,Hofn,IS,64.2539,-15.2082,55.42,76,40,19.57,scattered clouds
303,Naze,JP,28.3667,129.4833,75.09,78,0,1.81,clear sky
304,Valdosta,US,30.8327,-83.2785,78.67,91,90,1.01,overcast clouds
305,Smithers,CA,54.7804,-127.1743,43.39,94,100,2.51,overcast clouds
306,Akdepe,TM,42.0551,59.3788,69.8,16,0,10.85,clear sky
307,Knysna,ZA,-34.0363,23.0471,59.38,62,88,20.62,overcast clouds
308,Quatre Cocos,MU,-20.2078,57.7625,69.1,72,74,19.13,light rain
309,Changji,CN,44.0167,87.3167,70.59,26,0,6.71,clear sky
310,San Policarpo,PH,12.1791,125.5072,79.99,83,100,8.23,overcast clouds
311,Goderich,CA,43.7501,-81.7165,72.21,65,100,15.37,overcast clouds
312,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,77,40,9.22,scattered clouds
313,Rochester,US,43.1548,-77.6156,75.34,65,75,1.99,broken clouds
314,Ituporanga,BR,-27.4144,-49.6025,73.36,83,98,2.13,overcast clouds
315,Ancud,CL,-41.8697,-73.8203,49.53,65,5,2.75,clear sky
316,Nemuro,JP,43.3236,145.575,57.97,74,33,7.2,scattered clouds
317,Narrabri,AU,-30.3167,149.7833,48.88,76,3,7.7,clear sky
318,Tongliao,CN,43.6125,122.2653,56.46,97,100,18.16,light rain
319,Ketchikan,US,55.3422,-131.6461,54.07,82,90,20.71,moderate rain
