City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,Caconda,-13.7333,15.0667,58.77,79,30,1.3,AO,2021-09-15 04:35:40
165,Mareeba,-17.0,145.4333,80.47,30,50,8.23,AU,2021-09-15 04:35:40
166,Pisco,-13.7,-76.2167,59.02,88,20,1.14,PE,2021-09-15 04:35:40
167,Strezhevoy,60.7333,77.5889,46.38,63,45,4.45,RU,2021-09-15 04:35:41
168,Cam Ranh,11.9214,109.1591,87.76,70,20,8.05,VN,2021-09-15 04:35:41
169,Jiaozuo,35.2397,113.2331,82.11,60,40,8.9,CN,2021-09-15 04:35:41
170,Mesyagutovo,55.5303,58.2528,55.22,67,100,13.2,RU,2021-09-15 04:33:15
171,Leningradskiy,69.3833,178.4167,30.83,86,99,9.69,RU,2021-09-15 04:35:41
172,Nishihara,26.1842,127.7558,87.46,79,75,13.8,JP,2021-09-15 04:35:42
173,Esmeralda,21.8525,-78.1169,76.24,91,82,3.47,CU,2021-09-15 04:35:42
174,Chapaevsk,52.9813,49.7112,56.41,59,100,14.07,RU,2021-09-15 04:35:42
175,Klaksvik,62.2266,-6.589,50.92,95,100,4.45,FO,2021-09-15 04:35:42
176,Gamba,-2.65,10.0,75.27,87,97,4.68,GA,2021-09-15 04:35:43
177,Pevek,69.7008,170.3133,33.4,80,100,4.23,RU,2021-09-15 04:35:43
178,Terney,45.0503,136.6092,66.04,56,0,6.55,RU,2021-09-15 04:35:43
179,Iranshahr,27.2025,60.6848,89.94,9,0,6.91,IR,2021-09-15 04:35:43
180,Saint-Paul,-21.0096,55.2707,75.74,69,25,1.23,RE,2021-09-15 04:35:44
181,Kruisfontein,-34.0033,24.7314,53.89,79,98,12.91,ZA,2021-09-15 04:35:44
182,Tera,14.0078,0.7531,79.97,70,99,9.64,NE,2021-09-15 04:35:44
183,Ust-Nera,64.5667,143.2,56.91,51,89,3.96,RU,2021-09-15 04:35:44
184,Carira,-10.3608,-37.7011,66.54,98,27,3.87,BR,2021-09-15 04:35:45
185,Kapoeta,4.7717,33.5903,76.1,70,100,3.18,SS,2021-09-15 04:35:45
186,Puerto Montt,-41.4698,-72.9447,47.23,93,90,5.75,CL,2021-09-15 04:32:55
187,Nanortalik,60.1432,-45.2371,38.61,75,14,6.51,GL,2021-09-15 04:35:45
188,Isangel,-19.55,169.2667,84.31,51,40,6.91,VU,2021-09-15 04:35:46
189,Phalodi,27.1333,72.3667,90.97,54,8,12.33,IN,2021-09-15 04:35:46
190,Barrow,71.2906,-156.7887,37.42,93,90,11.5,US,2021-09-15 04:35:46
191,Victoria,22.2855,114.1577,89.65,69,63,9.84,HK,2021-09-15 04:34:24
192,Geraldton,-28.7667,114.6,70.12,49,90,11.5,AU,2021-09-15 04:31:18
193,Slobodskoy,58.7322,50.1772,42.37,89,100,5.97,RU,2021-09-15 04:35:46
194,Nykoping,58.753,17.0079,48.49,100,0,4.61,SE,2021-09-15 04:35:47
195,Soyo,-6.1349,12.3689,73.65,91,14,5.17,AO,2021-09-15 04:35:47
196,Piacabucu,-10.4056,-36.4344,73.78,90,8,7.25,BR,2021-09-15 04:35:47
197,Havre De Grace,39.5493,-76.0916,78.06,95,1,0.0,US,2021-09-15 04:35:48
198,Lagoa,39.05,-27.9833,67.87,75,36,3.2,PT,2021-09-15 04:35:48
199,Lar,26.2039,83.9717,75.34,95,100,20.07,IN,2021-09-15 04:35:48
200,Husavik,66.0449,-17.3389,48.11,79,59,10.49,IS,2021-09-15 04:35:48
201,Ambunti,-4.2365,142.8448,89.62,56,56,4.25,PG,2021-09-15 04:35:49
202,The Valley,18.217,-63.0578,82.26,79,87,15.35,AI,2021-09-15 04:33:42
203,Mpika,-11.8343,31.4529,64.15,49,68,7.14,ZM,2021-09-15 04:35:49
204,Ziway,7.9333,38.7167,65.44,73,28,2.95,ET,2021-09-15 04:35:49
205,Port Pirie,-33.1833,138.0167,68.09,38,97,5.53,AU,2021-09-15 04:35:49
206,Mnogovershinnyy,53.9353,139.9242,64.98,45,72,6.49,RU,2021-09-15 04:35:50
207,Karmala,18.4167,75.2,80.1,67,92,14.56,IN,2021-09-15 04:35:50
208,Ibotirama,-12.1853,-43.2206,74.68,42,0,1.48,BR,2021-09-15 04:35:50
209,Touros,-5.1989,-35.4608,76.1,86,2,11.81,BR,2021-09-15 04:35:50
210,North Bend,43.4065,-124.2243,62.51,77,90,8.05,US,2021-09-15 04:31:05
211,Puerto Carreno,6.189,-67.4859,74.12,92,14,5.7,CO,2021-09-15 04:35:52
212,Skibbereen,51.55,-9.2667,57.0,91,100,2.93,IE,2021-09-15 04:35:52
213,Hayvoron,48.3396,29.8679,60.3,74,89,6.64,UA,2021-09-15 04:35:52
214,Carnarvon,-24.8667,113.6333,71.67,46,40,8.05,AU,2021-09-15 04:35:52
215,Lancaster,40.2504,-76.2499,75.13,90,75,5.99,US,2021-09-15 04:35:53
216,Sisimiut,66.9395,-53.6735,33.39,74,68,5.41,GL,2021-09-15 04:35:53
217,Hasaki,35.7333,140.8333,81.0,76,67,12.95,JP,2021-09-15 04:35:53
218,Mahebourg,-20.4081,57.7,74.25,100,40,4.61,MU,2021-09-15 04:35:53
219,Muros,42.7762,-9.0603,67.23,92,93,6.96,ES,2021-09-15 04:35:54
220,Yulara,-25.2406,130.9889,91.24,10,2,5.75,AU,2021-09-15 04:35:54
221,Saint Anthony,45.0205,-93.218,61.03,78,1,1.99,US,2021-09-15 04:35:54
222,Harper,4.375,-7.7169,75.34,93,100,8.86,LR,2021-09-15 04:35:55
223,Ponta Delgada,37.7333,-25.6667,63.32,88,20,5.75,PT,2021-09-15 04:35:55
224,Saint-Augustin,51.226,-58.6502,36.39,81,6,6.24,CA,2021-09-15 04:35:55
225,Nuuk,64.1835,-51.7216,32.61,74,0,9.22,GL,2021-09-15 04:35:55
226,Evensk,61.95,159.2333,51.82,59,35,7.29,RU,2021-09-15 04:35:56
227,Paulo Afonso,-9.4061,-38.2147,67.98,98,19,6.26,BR,2021-09-15 04:35:56
228,Stromness,58.965,-3.296,53.87,93,92,3.29,GB,2021-09-15 04:35:56
229,Herat,34.5,62.0,84.85,7,0,9.55,AF,2021-09-15 04:35:56
230,Turukhansk,65.8167,87.9833,38.12,87,99,10.87,RU,2021-09-15 04:35:57
231,Peruibe,-24.32,-46.9983,70.95,92,100,2.06,BR,2021-09-15 04:33:53
232,Nikolskoye,59.7035,30.7861,44.49,74,57,7.49,RU,2021-09-15 04:35:57
233,Utraula,27.3167,82.4167,75.97,91,99,24.52,IN,2021-09-15 04:35:57
234,Georgetown,5.4112,100.3354,89.53,66,20,2.3,MY,2021-09-15 04:35:57
235,Kavaratti,10.5669,72.642,81.95,79,92,18.54,IN,2021-09-15 04:35:58
236,Zhigansk,66.7697,123.3711,52.23,82,100,16.96,RU,2021-09-15 04:35:58
237,Mayo,38.8876,-76.5119,78.91,92,1,1.01,US,2021-09-15 04:35:58
238,Zhezkazgan,47.8043,67.7144,68.7,15,99,3.94,KZ,2021-09-15 04:35:58
239,Burnie,-41.0667,145.9167,53.38,56,37,7.4,AU,2021-09-15 04:35:59
240,Praia Da Vitoria,38.7333,-27.0667,65.75,94,0,3.53,PT,2021-09-15 04:35:59
241,Torbay,47.6666,-52.7314,50.58,81,90,10.36,CA,2021-09-15 04:35:59
242,Tura,25.5198,90.2201,83.5,78,84,2.77,IN,2021-09-15 04:35:59
243,Mulchen,-37.7167,-72.2333,41.0,82,75,4.07,CL,2021-09-15 04:36:00
244,Pangnirtung,66.1451,-65.7125,30.2,80,75,0.0,CA,2021-09-15 04:36:00
245,Pangoa,-12.1167,-73.0,67.87,98,82,3.04,PE,2021-09-15 04:36:00
246,Marsh Harbour,26.5412,-77.0636,81.64,70,4,5.44,BS,2021-09-15 04:35:29
247,Xuddur,4.1213,43.8894,76.42,60,53,19.86,SO,2021-09-15 04:36:01
248,Norman Wells,65.282,-126.8329,46.44,87,75,4.61,CA,2021-09-15 04:36:01
249,Arraial Do Cabo,-22.9661,-42.0278,71.58,91,75,5.01,BR,2021-09-15 04:36:01
250,Prykolotne,50.1604,37.3474,51.84,44,84,9.22,UA,2021-09-15 04:36:01
251,Haines Junction,60.7522,-137.5108,44.55,65,97,4.61,CA,2021-09-15 04:36:02
252,Pandamatenga,-18.5278,25.627,69.71,32,19,4.43,BW,2021-09-15 04:36:02
253,San Felipe Del Progreso,19.7128,-99.9519,55.58,97,53,2.68,MX,2021-09-15 04:36:02
254,Bubaque,11.2833,-15.8333,80.17,82,11,11.81,GW,2021-09-15 04:36:02
255,Alice Springs,-23.7,133.8833,92.75,13,40,11.5,AU,2021-09-15 04:36:03
256,San Jose De Ocoa,18.55,-70.5,75.36,83,100,2.66,DO,2021-09-15 04:36:03
257,Latung,5.5,120.8833,83.64,67,91,0.85,PH,2021-09-15 04:36:03
258,Teguise,29.0605,-13.564,68.22,78,0,0.0,ES,2021-09-15 04:36:03
259,Tuatapere,-46.1333,167.6833,49.82,71,56,10.13,NZ,2021-09-15 04:36:04
260,Archis,46.4833,22.05,58.46,69,1,4.0,RO,2021-09-15 04:36:04
261,General Roca,-39.0333,-67.5833,50.4,50,5,10.27,AR,2021-09-15 04:36:04
262,Sao Felix Do Xingu,-6.6447,-51.995,79.48,49,56,0.38,BR,2021-09-15 04:36:05
263,Alyangula,-13.8483,136.4192,85.87,66,36,10.36,AU,2021-09-15 04:36:05
264,Brae,60.3964,-1.353,55.31,91,84,12.33,GB,2021-09-15 04:36:05
265,Severo-Kurilsk,50.6789,156.125,52.59,79,36,10.31,RU,2021-09-15 04:32:14
266,Rabo De Peixe,37.8,-25.5833,62.11,88,20,5.75,PT,2021-09-15 04:36:05
267,Pacific Grove,36.6177,-121.9166,63.16,89,75,3.0,US,2021-09-15 04:36:06
268,Sao Filipe,14.8961,-24.4956,79.83,83,99,12.64,CV,2021-09-15 04:36:06
269,Mandan,46.8267,-100.8896,58.21,67,75,5.75,US,2021-09-15 04:32:23
270,Hay River,60.8156,-115.7999,51.78,82,75,2.3,CA,2021-09-15 04:36:06
271,Ortigueira,-24.2083,-50.9494,63.93,99,60,2.48,BR,2021-09-15 04:36:07
272,Sioux Lookout,50.1001,-91.917,48.58,93,40,3.44,CA,2021-09-15 04:36:07
